"CountyName","DwellingTypeDescr","Year_of_Construction","TypeofRating","EnergyRating","BerRating","GroundFloorArea.sq.m.","UValueWall","UValueRoof","UValueFloor","UValueWindow","UvalueDoor","WallArea","RoofArea","FloorArea","WindowArea","DoorArea","NoStoreys","CO2Rating","MainSpaceHeatingFuel","MainWaterHeatingFuel","HSMainSystemEfficiency","MultiDwellingMPRN","TGDLEdition","MPCDERValue","HSEffAdjFactor","HSSupplHeatFraction","HSSupplSystemEff","WHMainSystemEff","WHEffAdjFactor","SupplSHFuel","SupplWHFuel","SHRenewableResources","WHRenewableResources","NoOfChimneys","NoOfOpenFlues","NoOfFansAndVents","NoOfFluelessGasFires","DraftLobby","VentilationMethod","FanPowerManuDeclaredValue","HeatExchangerEff","StructureType","SuspendedWoodenFloor","PercentageDraughtStripped","NoOfSidesSheltered","PermeabilityTest","PermeabilityTestResult","TempAdjustment","HeatSystemControlCat","HeatSystemResponseCat","NoCentralHeatingPumps","CHBoilerThermostatControlled","NoOilBoilerHeatingPumps","OBBoilerThermostatControlled","OBPumpInsideDwelling","NoGasBoilerHeatingPumps","WarmAirHeatingSystem","UndergroundHeating","GroundFloorUValue","DistributionLosses","StorageLosses","ManuLossFactorAvail","SolarHotWaterHeating","ElecImmersionInSummer","CombiBoiler","KeepHotFacility","WaterStorageVolume","DeclaredLossFactor","TempFactorUnadj","TempFactorMultiplier","InsulationType","InsulationThickness","PrimaryCircuitLoss","CombiBoilerAddLoss","ElecConsumpKeepHot","ApertureArea","ZeroLossCollectorEff","CollectorHeatLossCoEff","AnnualSolarRadiation","OvershadingFactor","CylinderStat","SolarStorageVolume","VolumeOfPreHeatStore","CombinedCylinder","ElectricityConsumption","SWHPumpSolarPowered","ChargingBasisHeatConsumed","gsdHSSupplHeatFraction","gsdHSSupplSystemEff","DistLossFactor","CHPUnitHeatFraction","CHPSystemType","CHPElecEff","CHPHeatEff","CHPFuelType","SupplHSFuelTypeID","gsdSHRenewableResources","gsdWHRenewableResources","SolarHeatFraction","DeliveredLightingEnergy","DeliveredEnergyPumpsFans","DeliveredEnergyMainWater","DeliveredEnergyMainSpace","PrimaryEnergyLighting","PrimaryEnergyPumpsFans","PrimaryEnergyMainWater","PrimaryEnergyMainSpace","CO2Lighting","CO2PumpsFans","CO2MainWater","CO2MainSpace","GroundFloorArea","GroundFloorHeight","FirstFloorArea","FirstFloorHeight","SecondFloorArea","SecondFloorHeight","ThirdFloorArea","ThirdFloorHeight","ThermalBridgingFactor","ThermalMassCategory","PredominantRoofTypeArea","PredominantRoofType","LowEnergyLightingPercent","TotalDeliveredEnergy","DeliveredEnergySecondarySpace","DeliveredEnergySupplementaryWater","LivingAreaPercent","CO2SecondarySpace","CO2SupplementaryWater","PrimaryEnergySecondarySpace","PrimaryEnergySupplementaryWater","HESSchemeUpgrade","RoomInRoofArea","PurposeOfRating","DateOfAssessment","FirstEnergyTypeId","FirstEnergyType_Description","FirstEnerProdComment","FirstEnerProdDelivered","FirstPartLTotalContribution","FirstEnerProdConvFactor","FirstEnerProdCO2EmissionFactor","FirstEnerConsumedComment","FirstEnerConsumedDelivered","FirstEnerConsumedConvFactor","FirstEnerConsumedCO2EmissionFactor","SecondEnergyTypeId","SecondEnergyType_Description","SecondEnerProdComment","SecondEnerProdDelivered","SecondPartLTotalContribution","SecondEnerProdConvFactor","SecondEnerProdCO2EmissionFactor","SecondEnerConsumedComment","SecondEnerConsumedDelivered","SecondEnerConsumedConvFactor","SecondEnerConsumedCO2EmissionFactor","ThirdEnergyTypeId","ThirdEnergyType_Description","ThirdEnerProdComment","ThirdEnerProdDelivered","ThirdPartLTotalContribution","ThirdEnerProdConvFactor","ThirdEnerProdCO2EmissionFactor","ThirdEnerConsumedComment","ThirdEnerConsumedDelivered","ThirdEnerConsumedConvFactor","ThirdEnerConsumedCO2EmissionFactor","FirstBoilerFuelType","FirstHeatGenPlantEff","FirstPercentageHeat","SecondBoilerFuelType","SecondHeatGenPlantEff","SecondPercentageHeat","ThirdBoilerFuelType","ThirdHeatGenPlantEff","ThirdPercentageHeat","SolarSpaceHeatingSystem","TotalPrimaryEnergyFact","TotalCO2Emissions","FirstWallType_Description","FirstWallDescription","FirstWallArea","FirstWallUValue","FirstWallIsSemiExposed","FirstWallAgeBandId","FirstWallTypeId","SecondWallType_Description","SecondWallDescription","SecondWallArea","SecondWallUValue","SecondWallIsSemiExposed","SecondWallAgeBandId","SecondWallTypeId","ThirdWallType_Description","ThirdWallDescription","ThirdWallArea","ThirdWallUValue","ThirdWallIsSemiExposed","ThirdWallAgeBandId","ThirdWallTypeId"
"Dublin 6","Mid-floor apartment",2007,"Existing       ","B2",101.77,115.6,0.32,0.1,0,1.4,1.31,59.84,48.81,0,29.78,1.89,1,20.29,"Mains Gas                     ","Mains Gas                     ",78.3,"NO",0,24.03,1,0,0,78.3,1,1,1,2,2,0,0,4,0,"YES","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,3,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,366.415,"YES","NO ","NO ","NO ","None                          ","None                          ",180,0,0.6,0.9,"Factory Insulated             ",25,"Boiler with insulated primary ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1043.29,175,4409.667,3294.742,2816.883,472.5,4850.634,3624.216,670.835,112.525,895.162,668.833,115.6,2.65,0,0,0,0,0,0,0.15,"Medium              ",48.81,"Balcony                       ",0,8922.699,0,0,32.673,0,0,0,0,0,0,"Unknown","Feb 11 2009 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Rational Panel",21.29,0.24,"No",10,9,"Other","ConCast Panel Wall",18.44,0.28,"No",10,9,"Other","Rational Panel & Stud",8.49,0.28,"No",10,9
"Co. Galway","Detached house",2001,"Existing       ","C2",192.37,180.45,0.55,0.35,0.41,2.8,2.95,115.31,132.11,118.84,25.04,3.7,2,49.86,"Heating Oil                   ","Heating Oil                   ",85.7,"NO",0,42.57,0.95,0.1,30,85.7,0.95,15,1,2,2,1,0,0,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0.6,1,1,1,"NO ",1,"NO ","YES",0,"NO ","NO ",0,486.784,"YES","NO ","NO ","NO ","None                          ","None                          ",110,0,0.6,1.17,"Factory Insulated             ",35,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1628.561,230,6098.662,16055.006,4397.115,621,6708.528,17660.507,1047.165,147.89,1658.836,4366.962,118.84,2.5,0,0,0,0,0,0,0.15,"Medium              ",132.11,"",0,28852.516,4840.287,0,10.4129,1786.066,0,5324.316,0,0,61.61,"Unknown","Feb  3 2009 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","",115.31,0.55,"No",9,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Meath","Ground-floor apartment",2007,"Final          ","B3",147.78,74,0.29,0.16,0.19,1.5,3,55.6,10,74,8.23,1.96,1,28.94,"Mains Gas                     ","Mains Gas                     ",90.1,"NO",1,31.28,1,0.1,90,90.1,1,2,1,2,2,0,1,6,1,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,1,"NO",0,0,2,1,1,"YES",0,"NO ","NO ",1,"YES","NO ",0,275.952,"YES","NO ","NO ","NO ","None                          ","None                          ",150,0,0.6,0.9,"Factory Insulated             ",45,"Boiler with insulated primary ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,500.887,294.88,2940.822,4542.246,1352.395,796.176,3234.904,4996.471,322.07,189.608,596.987,922.076,74,2.7,0,0,0,0,0,0,0.11,"Medium              ",10,"flat roof                     ",50,8784.09,505.255,0,47,102.567,0,555.781,0,0,0,"Unknown","Oct 24 2007 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","masonary wall ground ",55.6,0.29,"",NA,NA,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Dublin 18","Mid-floor apartment",2007,"Final          ","B2",117.82,50.14,0.35,0,0,1.4,0,4.38,0,0,16.74,0,1,23.54,"Mains Gas                     ","Mains Gas                     ",78.3,"NO",1,28.9,1,0,0,78.3,1,1,1,2,2,0,0,3,0,"YES","Natural vent.",0,0,"Masonry                       ","No                            ",100,3,"NO",0,0,3,4,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,219.382,"YES","NO ","NO ","NO ","None                          ","None                          ",180,0,0.6,0.9,"Factory Insulated             ",50,"Boiler with insulated primary ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,452.513,175,2838.498,991.589,1221.785,472.5,3122.348,1090.748,290.966,112.525,576.215,201.293,50.14,2.56,0,0,0,0,0,0,0.11,"Medium-low          ",NA,"",0,4457.6,0,0,48,0,0,0,0,0,0,"Unknown","May  1 2008 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Masonry external with 60mm pol",4.38,0.35,"",NA,NA,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Louth","House",2008,"Final          ","B2",111.34,153.6,0.23,0.13,0.19,1.5,2.2,180.4,77.9,79.2,24.43,6.8,2,21.39,"Mains Gas                     ","Mains Gas                     ",90.5,"NO",1,23.91,1,0.1,30,90.5,1,1,16,2,2,1,0,14,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",1.1,0,3,2,1,"YES",0,"NO ","YES",1,"NO ","NO ",0,439.932,"NO ","YES","NO ","NO ","Instantaneous, without keep-ho","None                          ",0,0,0,0,"Factory Insulated             ",0,"Combi boiler                  ",600,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,693.12,175,3240.754,10174.799,1871.424,472.5,3564.829,11192.279,445.676,112.525,657.873,2065.484,79.2,2.9,74.4,2.45,0,0,0,0,0.11,"Medium              ",77.9,"roof                          ",100,17694.115,3410.442,0,13,0,0,0,0,0,0,"Unknown","May  4 2008 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Rendered Wall ",144.95,0.23,"",NA,NA,"","Brick Wall ",35.45,0.24,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Louth","Detached house",2008,"Final          ","B2",123.96,122,0.23,0.1,0.17,1.5,3,151,63.8,63.8,23,1.85,2,24.44,"Mains Gas                     ","Mains Gas                     ",90.1,"NO",1,29.89,1,0.1,90,90.1,1,2,1,2,2,0,0,10,1,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,2,1,1,"NO ",0,"NO ","NO ",1,"NO ","NO ",0,379.374,"YES","NO ","NO ","NO ","None                          ","None                          ",120,0,1,1,"Factory Insulated             ",40,"Boiler with insulated primary ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1101.05,175,3706.062,6218.412,2972.835,472.5,4076.668,6840.253,707.975,112.525,752.331,1262.338,63.8,2.45,58.2,2.7,0,0,0,0,0.08,"Medium-high         ",63.8,"                              ",0,11892.226,691.702,0,18,140.416,0,760.872,0,0,0,"Unknown","Jul  7 2008 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exposed ",151,0.23,"",NA,NA,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Laois","Detached house",2008,"Provisional    ","B2",120.31,185.7,0.27,0.17,0.25,1.92,3,135.96,101.45,92.85,32.76,4.03,2,30.91,"Heating Oil                   ","Heating Oil                   ",90.2,"NO",1,34.5,1,0.1,30,90.2,1,15,1,2,2,2,0,12,0,"NO","Natural vent.",0,0,"Timber or Steel Frame         ","No                            ",100,1,"NO",0,0,3,1,1,"YES",1,"YES","NO ",0,"NO ","NO ",0,495.423,"YES","NO ","NO ","NO ","None                          ","None                          ",135,0,1,1,"Factory Insulated             ",50,"Boiler with insulated primary ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1675.943,230,4504.236,8337.01,4525.046,621,4954.66,9170.711,1077.631,147.89,1225.152,2267.667,92.85,2.55,92.85,2.7,0,0,0,0,0.11,"Medium              ",78.63,"Flat Ceiling                  ",0,17532.368,2785.179,0,11,1027.731,0,3063.697,0,0,0,"Unknown","Aug  8 2008 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Timber Frame with external blo",135.96,0.27,"",NA,NA,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Tipperary","End of terrace house",1900,"Existing       ","F ",424.87,60.76,1.46,1.69,0.7,3.75,3,71.25,30.03,33.29,7.27,4.2,2,111.09,"Heating Oil                   ","Heating Oil                   ",85.5,"NO",0,55.42,0.95,0.1,30,85.5,0.95,15,28,2,2,1,0,1,0,"YES","Natural vent.",0,0,"Masonry                       ","No                            ",90,2,"NO",0,0.6,1,1,1,"NO ",1,"NO ","NO ",0,"NO ","NO ",0,244.967,"YES","NO ","NO ","NO ","None                          ","None                          ",100,0,0.6,1.3,"Loose Jacket                  ",80,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,548.359,230,4128.18,13398.705,1480.569,621,4540.998,14738.576,352.595,147.89,1122.865,3644.448,30.73,2.29,20.38,2.29,0,0,9.65,2.37,0.15,"Medium-high         ",20.38,"FF 1                          ",0,22334.78,4029.536,0,31.4845,1486.899,0,4432.49,0,0,0,"Unknown","Jan 15 2009 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stone","FF 1",23.76,2.1,"No",2,1,"Stone","GF 1",17.49,2.1,"No",2,1,"Concrete Hollow Block","FF2",15.18,0.6,"No",7,7
"Co. Clare","Mid-terrace house",2006,"Final          ","B3",133.68,105.8,0.24,0.16,0.23,1.8,3,48.03,26.68,40.94,19.65,1.89,3,27.46,"Mains Gas                     ","Mains Gas                     ",79.6,"NO",1,26.76,1,0.1,0,79.6,1,1,28,2,2,0,1,11,0,"NO","Natural vent.",0,0,"Insulated Conctete Form       ","No                            ",100,2,"NO",0,0,2,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,345.98,"YES","NO ","NO ","YES","None                          ","None                          ",160,0,0.6,0.9,"Factory Insulated             ",50,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,954.845,175,2791.555,5099.328,2578.082,472.5,3070.711,5609.261,613.965,112.525,566.686,1035.164,40.94,2.4,38.18,2.62,26.68,2.62,0,0,0.15,"Medium-high         ",26.68,"",0,9913.884,0,893.156,14.7826,0,574.299,0,2411.521,0,0,"Unknown","Mar 25 2009 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solid Mass Concrete","Rear Elevation",23.32,0.24,"No",NA,6,"Solid Mass Concrete","Front Elevation",23.06,0.24,"No",NA,6,"Solid Mass Concrete","Side Front",1.65,0.24,"No",NA,6
"Co. Meath","Mid-terrace house",2007,"Existing       ","B2",121.07,95.52,0.25,0.15,0.22,1.59,3,40.57,48.86,46.66,14.99,2,2,23.96,"Mains Gas                     ","Mains Gas                     ",87.7,"NO",1,26.31,1,0,0,87.7,1,1,1,2,2,0,0,6,1,"NO","Natural vent.",0,0,"Timber or Steel Frame         ","No                            ",100,2,"NO",0,0,3,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,324.05,"YES","NO ","NO ","NO ","None                          ","None                          ",144,0,0.6,0.9,"Factory Insulated             ",22,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,862.068,175,3900.036,4068.605,2327.584,472.5,4290.04,4475.466,554.31,112.525,791.707,825.927,46.66,2.45,48.86,2.71,0,0,0,0,0.15,"Medium-high         ",46.66,"300mm Fibreglass Insulation   ",0,9005.709,0,0,22.1524,0,0,0,0,0,0,"Unknown","Apr  7 2009 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Timber Frame","150mm Metac Insulation",40.57,0.25,"No",10,8,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
